archivo,clase
WhatsApp Audio 2025-11-15 at 12.36.58.wav,1
PJ_9.wav,1
PJ_18.wav,1
WhatsApp Audio 2025-11-14 at 18.35.37.wav,1
WhatsApp Audio 2025-11-14 at 18.33.57.wav,1
WhatsApp Audio 2025-11-14 at 18.44.22.wav,0
WhatsApp Audio 2025-11-15 at 12.36.59.wav,1
PJ_8.wav,1
WhatsApp Audio 2025-11-14 at 18.44.34.wav,0
WhatsApp Audio 2025-11-14 at 18.43.01.wav,0
WhatsApp Audio 2025-11-14 at 18.34.48.wav,1
WhatsApp Audio 2025-11-15 at 12.37.27.wav,0
WhatsApp Audio 2025-11-14 at 18.41.10.wav,0
WhatsApp Audio 2025-11-14 at 18.42.40.wav,0
WhatsApp Audio 2025-11-14 at 21.56.40.wav,0
WhatsApp Audio 2025-11-14 at 17.28.24.wav,1
WhatsApp Audio 2025-11-14 at 18.34.59.wav,1
WhatsApp Audio 2025-11-14 at 21.51.59.wav,1
WhatsApp Audio 2025-11-14 at 17.27.59.wav,1
WhatsApp Audio 2025-11-14 at 18.35.31.wav,1
WhatsApp Audio 2025-11-14 at 18.35.25.wav,1
WhatsApp Audio 2025-11-14 at 18.35.19.wav,1
WhatsApp Audio 2025-11-14 at 16.45.52.wav,1
WhatsApp Audio 2025-11-14 at 18.41.15.wav,0
WhatsApp Audio 2025-11-14 at 18.41.28.wav,0
WhatsApp Audio 2025-11-14 at 18.42.53.wav,0
WhatsApp Audio 2025-11-14 at 21.52.37.wav,0
WhatsApp Audio 2025-11-14 at 18.42.46.wav,0
WhatsApp Audio 2025-11-14 at 17.46.39.wav,1
WhatsApp Audio 2025-11-14 at 18.34.28.wav,1
WhatsApp Audio 2025-11-14 at 21.58.18.wav,0
WhatsApp Audio 2025-11-14 at 21.51.28.wav,1
WhatsApp Audio 2025-11-14 at 21.52.51.wav,0
WhatsApp Audio 2025-11-14 at 18.35.54.wav,1
WhatsApp Audio 2025-11-14 at 16.59.33.wav,1
WhatsApp Audio 2025-11-14 at 18.44.41.wav,0
WhatsApp Audio 2025-11-14 at 17.46.10.wav,0
WhatsApp Audio 2025-11-14 at 21.53.12.wav,0
NJ_9.wav,0
WhatsApp Audio 2025-11-14 at 18.35.42.wav,1
NJ_8.wav,0
WhatsApp Audio 2025-11-14 at 21.52.47.wav,0
WhatsApp Audio 2025-11-14 at 18.36.07.wav,1
WhatsApp Audio 2025-11-14 at 18.33.37.wav,1
Avenida Pedro Blanes Viale 5925 6.wav,1
WhatsApp Audio 2025-11-14 at 18.44.46.wav,0
WhatsApp Audio 2025-11-14 at 21.56.27.wav,0
WhatsApp Audio 2025-11-14 at 18.42.33.wav,0
WhatsApp Audio 2025-11-14 at 21.52.43.wav,0
WhatsApp Audio 2025-11-14 at 21.52.57.wav,0
WhatsApp Audio 2025-11-14 at 17.02.52.wav,1
WhatsApp Audio 2025-11-14 at 18.45.13.wav,0
WhatsApp Audio 2025-11-14 at 21.56.32.wav,0
WhatsApp Audio 2025-11-14 at 18.34.13.wav,1
WhatsApp Audio 2025-11-14 at 21.53.02.wav,0
WhatsApp Audio 2025-11-14 at 18.33.32.wav,1
WhatsApp Audio 2025-11-14 at 21.53.16.wav,0
Avenida Pedro Blanes Viale 5925 7.wav,1
WhatsApp Audio 2025-11-14 at 16.53.54.wav,1
WhatsApp Audio 2025-11-14 at 16.40.16.wav,1
Avenida Pedro Blanes Viale 5925 5.wav,1
WhatsApp Audio 2025-11-14 at 18.44.51.wav,0
WhatsApp Audio 2025-11-14 at 18.34.05.wav,1
WhatsApp Audio 2025-11-14 at 18.36.14.wav,1
WhatsApp Audio 2025-11-14 at 18.36.00.wav,1
WhatsApp Audio 2025-11-14 at 17.29.14.wav,1
WhatsApp Audio 2025-11-14 at 21.52.40.wav,0
WhatsApp Audio 2025-11-14 at 21.51.38.wav,1
WhatsApp Audio 2025-11-15 at 09.14.23.wav,1
Avenida Pedro Blanes Viale 5925 4.wav,1
WhatsApp Audio 2025-11-14 at 21.59.51.wav,0
NJ_14.wav,0
WhatsApp Audio 2025-11-14 at 18.42.28.wav,0
